DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4
12X388,Pan American International High School at Monroe,Students in temporary housing,2017-18,110,43,29,26,12,52,47.3%,58,52.7%,s,s,s,s,109,99.1%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13,13,100.0%,s,s,s,s,s,s,s,s,23,19,82.6%,s,s,s,s,s,s,s,s
12X388,Pan American International High School at Monroe,Students with Disabilities,2017-18,11,s,s,s,s,s,s,s,s,s,s,s,s,11,100.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X446,Arturo A. Schomburg Satellite Academy Bronx,All Students,2017-18,181,No Data,90,53,38,97,53.6%,84,46.4%,s,s,71,39.2%,104,57.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X446,Arturo A. Schomburg Satellite Academy Bronx,English Language Learners,2017-18,20,No Data,13,s,s,11,55.0%,9,45.0%,s,s,s,s,17,85.0%,s,s,s,s,17,85.0%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X446,Arturo A. Schomburg Satellite Academy Bronx,Enrolled over the Counter,2017-18,102,No Data,83,6,13,51,50.0%,51,50.0%,s,s,36,35.3%,63,61.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X446,Arturo A. Schomburg Satellite Academy Bronx,Receive free or reduced price lunch,2017-18,155,No Data,76,49,30,87,56.1%,68,43.9%,s,s,60,38.7%,89,57.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X446,Arturo A. Schomburg Satellite Academy Bronx,Students in temporary housing,2017-18,19,No Data,9,s,s,9,47.4%,10,52.6%,s,s,9,47.4%,10,52.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X682,Fannie Lou Hamer Freedom High School,All Students,2017-18,473,123,120,90,140,205,43.3%,268,56.7%,s,s,137,29.0%,325,68.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,90,35,38.9%,45,50.0%,s,s,s,s,s,s,85,67,78.8%,17,20.0%,s,s,s,s,s,s
12X446,Arturo A. Schomburg Satellite Academy Bronx,Students with Disabilities,2017-18,29,No Data,18,s,s,13,44.8%,16,55.2%,s,s,11,37.9%,17,58.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X478,The Cinema School,All Students,2017-18,290,74,75,72,69,174,60.0%,116,40.0%,s,s,63,21.7%,207,71.4%,s,s,9,3.1%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,69,9,13.0%,21,30.4%,29,42.0%,10,14.5%,39,56.5%,64,21,32.8%,27,42.2%,s,s,s,s,s,s
12X478,The Cinema School,English Language Learners,2017-18,18,s,10,s,s,8,44.4%,10,55.6%,s,s,s,s,17,94.4%,s,s,s,s,17,94.4%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X478,The Cinema School,Enrolled over the Counter,2017-18,8,s,s,s,No Data,s,s,s,s,s,s,s,s,7,87.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X478,The Cinema School,Receive free or reduced price lunch,2017-18,249,66,63,61,59,153,61.4%,96,38.6%,s,s,54,21.7%,178,71.5%,s,s,8,3.2%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,62,9,14.5%,18,29.0%,28,45.2%,7,11.3%,35,56.5%,59,21,35.6%,25,42.4%,s,s,s,s,s,s
12X478,The Cinema School,Students in temporary housing,2017-18,27,10,s,7,s,14,51.9%,13,48.1%,s,s,s,s,17,63.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,10,s,s,s,s,s,s,s,s,s,s,8,s,s,s,s,s,s,s,s,s,s
12X478,The Cinema School,Students with Disabilities,2017-18,58,17,16,17,8,20,34.5%,38,65.5%,s,s,12,20.7%,45,77.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14,7,50.0%,s,s,s,s,s,s,s,s,16,12,75.0%,s,s,s,s,s,s,s,s
12X479,Bronx Career and College Preparatory High School,All Students,2017-18,254,70,79,59,46,121,47.6%,133,52.4%,7,2.8%,96,37.8%,144,56.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,10,33.3%,11,36.7%,s,s,s,s,s,s,29,19,65.5%,10,34.5%,s,s,s,s,s,s
12X479,Bronx Career and College Preparatory High School,English Language Learners,2017-18,44,20,13,s,s,24,54.5%,20,45.5%,s,s,s,s,38,86.4%,s,s,s,s,37,84.1%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,6,s,s,s,s,s,s,s,s,s,s
12X479,Bronx Career and College Preparatory High School,Enrolled over the Counter,2017-18,58,21,12,18,7,26,44.8%,32,55.2%,s,s,16,27.6%,38,65.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X479,Bronx Career and College Preparatory High School,Receive free or reduced price lunch,2017-18,224,63,70,49,42,111,49.6%,113,50.4%,6,2.7%,87,38.8%,126,56.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27,10,37.0%,9,33.3%,s,s,s,s,s,s,26,18,69.2%,8,30.8%,s,s,s,s,s,s
12X479,Bronx Career and College Preparatory High School,Students in temporary housing,2017-18,31,12,11,s,s,17,54.8%,14,45.2%,s,s,13,41.9%,17,54.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,s,s,s,s,s,s,s,s,s,s,6,s,s,s,s,s,s,s,s,s,s
12X479,Bronx Career and College Preparatory High School,Students with Disabilities,2017-18,60,20,24,s,s,23,38.3%,37,61.7%,s,s,17,28.3%,41,68.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,s,s,s,s,s,s,s,s,s,s,6,s,s,s,s,s,s,s,s,s,s
12X480,Bronx Regional High School,All Students,2017-18,230,No Data,84,68,78,129,56.1%,101,43.9%,s,s,79,34.3%,141,61.3%,s,s,6,2.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X480,Bronx Regional High School,English Language Learners,2017-18,24,No Data,7,7,10,16,66.7%,8,33.3%,s,s,s,s,23,95.8%,s,s,s,s,23,95.8%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X480,Bronx Regional High School,Enrolled over the Counter,2017-18,137,No Data,53,42,42,78,56.9%,59,43.1%,s,s,45,32.8%,84,61.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X480,Bronx Regional High School,Receive free or reduced price lunch,2017-18,198,No Data,73,60,65,113,57.1%,85,42.9%,s,s,63,31.8%,129,65.2%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X480,Bronx Regional High School,Students in temporary housing,2017-18,51,No Data,20,13,18,33,64.7%,18,35.3%,s,s,19,37.3%,31,60.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X480,Bronx Regional High School,Students with Disabilities,2017-18,43,No Data,15,13,15,19,44.2%,24,55.8%,s,s,15,34.9%,27,62.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X511,Bronx Envision Academy,All Students,2017-18,429,121,115,106,87,256,59.7%,173,40.3%,10,2.3%,143,33.3%,256,59.7%,8,1.9%,12,2.8%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,98,32,32.7%,33,33.7%,27,27.6%,6,6.1%,33,33.7%,95,55,57.9%,35,36.8%,s,s,s,s,s,s
12X511,Bronx Envision Academy,English Language Learners,2017-18,62,16,24,13,9,30,48.4%,32,51.6%,s,s,s,s,54,87.1%,s,s,s,s,54,87.1%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,15,11,73.3%,s,s,s,s,s,s,s,s,15,12,80.0%,s,s,s,s,s,s,s,s
12X511,Bronx Envision Academy,Enrolled over the Counter,2017-18,45,s,25,10,s,24,53.3%,21,46.7%,s,s,20,44.4%,24,53.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X511,Bronx Envision Academy,Receive free or reduced price lunch,2017-18,379,111,102,91,75,223,58.8%,156,41.2%,10,2.6%,119,31.4%,232,61.2%,7,1.8%,11,2.9%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,91,29,31.9%,33,36.3%,23,25.3%,6,6.6%,29,31.9%,87,50,57.5%,33,37.9%,s,s,s,s,s,s
12X511,Bronx Envision Academy,Students in temporary housing,2017-18,68,26,20,12,10,44,64.7%,24,35.3%,s,s,24,35.3%,39,57.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,22,s,s,12,54.5%,s,s,s,s,s,s,21,14,66.7%,6,28.6%,s,s,s,s,s,s
12X511,Bronx Envision Academy,Students with Disabilities,2017-18,106,31,38,24,13,50,47.2%,56,52.8%,s,s,35,33.0%,67,63.2%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,26,18,69.2%,7,26.9%,s,s,s,s,s,s,27,21,77.8%,6,22.2%,s,s,s,s,s,s
12X521,The Metropolitan Soundview High School,All Students,2017-18,429,136,95,97,101,200,46.6%,229,53.4%,15,3.5%,96,22.4%,305,71.1%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99,36,36.4%,40,40.4%,s,s,s,s,s,s,94,61,64.9%,29,30.9%,s,s,s,s,s,s
12X521,The Metropolitan Soundview High School,English Language Learners,2017-18,57,16,22,12,7,22,38.6%,35,61.4%,6,10.5%,s,s,48,84.2%,s,s,s,s,48,84.2%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,12,10,83.3%,s,s,s,s,s,s,s,s,12,10,83.3%,s,s,s,s,s,s,s,s
12X521,The Metropolitan Soundview High School,Enrolled over the Counter,2017-18,21,s,6,s,8,11,52.4%,10,47.6%,s,s,7,33.3%,14,66.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X521,The Metropolitan Soundview High School,Receive free or reduced price lunch,2017-18,414,132,93,93,96,194,46.9%,220,53.1%,15,3.6%,88,21.3%,298,72.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,95,34,35.8%,39,41.1%,s,s,s,s,s,s,90,59,65.6%,27,30.0%,s,s,s,s,s,s
12X521,The Metropolitan Soundview High School,Students in temporary housing,2017-18,53,22,10,11,10,26,49.1%,27,50.9%,s,s,18,34.0%,32,60.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16,s,s,8,50.0%,s,s,s,s,s,s,16,12,75.0%,s,s,s,s,s,s,s,s
12X521,The Metropolitan Soundview High School,Students with Disabilities,2017-18,105,45,23,17,20,34,32.4%,71,67.6%,s,s,18,17.1%,83,79.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,29,17,58.6%,9,31.0%,s,s,s,s,s,s,27,24,88.9%,s,s,s,s,s,s,s,s
12X550,High School of World Cultures,All Students,2017-18,448,93,131,127,97,200,44.6%,248,55.4%,41,9.2%,34,7.6%,345,77.0%,7,1.6%,21,4.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,19,10,52.6%,7,36.8%,s,s,s,s,s,s,30,17,56.7%,12,40.0%,s,s,s,s,s,s
12X550,High School of World Cultures,English Language Learners,2017-18,359,80,116,97,66,157,43.7%,202,56.3%,28,7.8%,27,7.5%,280,78.0%,s,s,s,s,281,78.3%,s,s,23,6.4%,29,8.1%,s,s,11,3.1%,s,s,s,s,s,s,15,4.2%,12,10,83.3%,s,s,s,s,s,s,s,s,23,16,69.6%,7,30.4%,s,s,s,s,s,s
12X550,High School of World Cultures,Enrolled over the Counter,2017-18,94,41,30,s,s,37,39.4%,57,60.6%,s,s,12,12.8%,72,76.6%,s,s,6,6.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X550,High School of World Cultures,Receive free or reduced price lunch,2017-18,425,88,130,112,95,191,44.9%,234,55.1%,40,9.4%,32,7.5%,325,76.5%,7,1.6%,21,4.9%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,18,10,55.6%,6,33.3%,s,s,s,s,s,s,29,17,58.6%,12,41.4%,s,s,s,s,s,s
12X550,High School of World Cultures,Students in temporary housing,2017-18,87,16,15,30,26,42,48.3%,45,51.7%,12,13.8%,s,s,71,81.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,7,s,s,s,s,s,s,s,s,s,s
12X550,High School of World Cultures,Students with Disabilities,2017-18,7,s,s,s,No Data,s,s,s,s,s,s,s,s,7,100.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X682,Fannie Lou Hamer Freedom High School,Enrolled over the Counter,2017-18,53,22,22,9,No Data,28,52.8%,25,47.2%,s,s,21,39.6%,31,58.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8,s,s,s,s,s,s,s,s,s,s,9,8,88.9%,s,s,s,s,s,s,s,s
12X682,Fannie Lou Hamer Freedom High School,Receive free or reduced price lunch,2017-18,395,107,104,74,110,178,45.1%,217,54.9%,s,s,115,29.1%,271,68.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,81,32,39.5%,40,49.4%,s,s,s,s,s,s,77,60,77.9%,17,22.1%,s,s,s,s,s,s
12X682,Fannie Lou Hamer Freedom High School,Students in temporary housing,2017-18,60,26,20,s,s,32,53.3%,28,46.7%,s,s,21,35.0%,37,61.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20,6,30.0%,11,55.0%,s,s,s,s,s,s,20,18,90.0%,s,s,s,s,s,s,s,s
12X682,Fannie Lou Hamer Freedom High School,Students with Disabilities,2017-18,145,47,37,26,35,54,37.2%,91,62.8%,s,s,44,30.3%,97,66.9%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32,23,71.9%,8,25.0%,s,s,s,s,s,s,31,30,96.8%,s,s,s,s,s,s,s,s
12X684,Wings Academy,All Students,2017-18,491,180,130,89,92,170,34.6%,321,65.4%,s,s,272,55.4%,202,41.1%,10,2.0%,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,143,44,30.8%,66,46.2%,s,s,s,s,s,s,134,100,74.6%,30,22.4%,s,s,s,s,s,s
12X684,Wings Academy,English Language Learners,2017-18,23,10,7,s,s,8,34.8%,15,65.2%,s,s,6,26.1%,17,73.9%,s,s,s,s,17,73.9%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,7,s,s,s,s,s,s,s,s,s,s,6,s,s,s,s,s,s,s,s,s,s
12X684,Wings Academy,Enrolled over the Counter,2017-18,35,8,8,9,10,14,40.0%,21,60.0%,s,s,18,51.4%,17,48.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X684,Wings Academy,Receive free or reduced price lunch,2017-18,431,163,114,80,74,154,35.7%,277,64.3%,s,s,229,53.1%,187,43.4%,9,2.1%,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,126,42,33.3%,57,45.2%,s,s,s,s,s,s,118,89,75.4%,26,22.0%,s,s,s,s,s,s
12X684,Wings Academy,Students in temporary housing,2017-18,65,29,15,13,8,20,30.8%,45,69.2%,s,s,39,60.0%,24,36.9%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,19,8,42.1%,9,47.4%,s,s,s,s,s,s,19,16,84.2%,s,s,s,s,s,s,s,s
12X684,Wings Academy,Students with Disabilities,2017-18,135,55,38,19,23,34,25.2%,101,74.8%,s,s,75,55.6%,55,40.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,34,18,52.9%,10,29.4%,s,s,s,s,s,s,31,26,83.9%,s,s,s,s,s,s,s,s
13K265,Dr. Susan S. McKinney Secondary School of the Arts,All Students,2017-18,261,72,74,68,47,160,61.3%,101,38.7%,6,2.3%,184,70.5%,65,24.9%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,61,s,s,33,54.1%,s,s,s,s,s,s,58,38,65.5%,17,29.3%,s,s,s,s,s,s
13K265,Dr. Susan S. McKinney Secondary School of the Arts,English Language Learners,2017-18,8,s,s,s,s,s,s,s,s,s,s,s,s,7,87.5%,s,s,s,s,7,87.5%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Enrolled over the Counter,2017-18,16,s,6,s,s,8,50.0%,8,50.0%,s,s,13,81.3%,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Receive free or reduced price lunch,2017-18,236,64,68,62,42,144,61.0%,92,39.0%,6,2.5%,164,69.5%,62,26.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,56,s,s,30,53.6%,s,s,s,s,s,s,53,34,64.2%,16,30.2%,s,s,s,s,s,s
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Students in temporary housing,2017-18,16,7,6,s,s,s,s,s,s,s,s,10,62.5%,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7,s,s,s,s,s,s,s,s,s,s,7,s,s,s,s,s,s,s,s,s,s
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Students with Disabilities,2017-18,49,19,13,11,6,24,49.0%,25,51.0%,s,s,30,61.2%,15,30.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16,6,37.5%,7,43.8%,s,s,s,s,s,s,16,11,68.8%,s,s,s,s,s,s,s,s
13K350,Urban Assembly School for Music and Art,All Students,2017-18,221,49,73,55,44,145,65.6%,76,34.4%,s,s,171,77.4%,41,18.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27,7,25.9%,15,55.6%,s,s,s,s,s,s,23,15,65.2%,8,34.8%,s,s,s,s,s,s
